Nome;Sobrenome;Posicao_Jogador;ID_Jogador;ID_Jogo;Data_Hora_Jogo;Nome_Time;Nome_Oponente;Casa;Minutos;Pontos;Assistencias;3PTS_Feitos;reboundsDefensive;reboundsOffensive;Rebotes
Jrue;Holiday;G;201950.0;22500783;11/02/2026;Trail Blazers;Timberwolves;0.0;30.29;23.0;5.0;5.0;4.0;1.0;5.0
Rudy;Gobert;C;203497.0;22500783;11/02/2026;Timberwolves;Trail Blazers;1.0;27.46;17.0;1.0;0.0;5.0;3.0;8.0
Jerami;Grant;F;203924.0;22500783;11/02/2026;Trail Blazers;Timberwolves;0.0;29.25;10.0;2.0;1.0;2.0;2.0;4.0
Julius;Randle;F-C;203944.0;22500783;11/02/2026;Timberwolves;Trail Blazers;1.0;32.52;41.0;2.0;3.0;5.0;2.0;7.0
Joe;Ingles;F-G;204060.0;22500783;11/02/2026;Timberwolves;Trail Blazers;1.0;3.46;0.0;0.0;0.0;1.0;0.0;1.0
Kevon;Looney;F;1626172.0;22500784;11/02/2026;Pelicans;Heat;1.0;13.54;6.0;0.0;0.0;6.0;3.0;9.0
Bam;Adebayo;C-F;1628389.0;22500784;11/02/2026;Heat;Pelicans;0.0;36.59;27.0;4.0;2.0;12.0;2.0;14.0
Zion;Williamson;F;1629627.0;22500784;11/02/2026;Pelicans;Heat;1.0;33.2;25.0;3.0;0.0;1.0;3.0;4.0
Jordan;Poole;G;1629673.0;22500784;11/02/2026;Pelicans;Heat;1.0;;0.0;0.0;0.0;0.0;0.0;0.0
Saddiq;Bey;G-F;1630180.0;22500784;11/02/2026;Pelicans;Heat;1.0;36.21;14.0;4.0;4.0;8.0;1.0;9.0
Herbert;Jones;F;1630529.0;22500784;11/02/2026;Pelicans;Heat;1.0;32.47;7.0;2.0;1.0;4.0;0.0;4.0
Trey;Murphy III;F;1630530.0;22500784;11/02/2026;Pelicans;Heat;1.0;26.6;19.0;6.0;2.0;4.0;0.0;4.0
Davion;Mitchell;G;1630558.0;22500784;11/02/2026;Heat;Pelicans;0.0;27.47;9.0;5.0;2.0;1.0;0.0;1.0
Dru;Smith;G;1630696.0;22500784;11/02/2026;Heat;Pelicans;0.0;19.56;6.0;4.0;0.0;1.0;2.0;3.0
Nikola;Jovic;F;1631107.0;22500784;11/02/2026;Heat;Pelicans;0.0;17.41;8.0;0.0;1.0;1.0;0.0;1.0
Bryce;McGowens;G;1631121.0;22500784;11/02/2026;Pelicans;Heat;1.0;21.15;12.0;3.0;1.0;1.0;0.0;1.0
Jaime;Jaquez Jr.;G;1631170.0;22500784;11/02/2026;Heat;Pelicans;0.0;34.52;23.0;4.0;0.0;7.0;1.0;8.0
Karlo;Matkovic;F-C;1631255.0;22500784;11/02/2026;Pelicans;Heat;1.0;13.25;3.0;1.0;1.0;0.0;0.0;0.0
Simone;Fontecchio;F;1631323.0;22500784;11/02/2026;Heat;Pelicans;0.0;26.52;15.0;1.0;4.0;2.0;2.0;4.0
Jordan;Hawkins;G;1641722.0;22500784;11/02/2026;Pelicans;Heat;1.0;;0.0;0.0;0.0;0.0;0.0;0.0
Myron;Gardner;F;1642066.0;22500784;11/02/2026;Heat;Pelicans;0.0;22.56;8.0;3.0;2.0;6.0;4.0;10.0
Yves;Missi;C;1642274.0;22500784;11/02/2026;Pelicans;Heat;1.0;;0.0;0.0;0.0;0.0;0.0;0.0
Kel'el;Ware;C;1642276.0;22500784;11/02/2026;Heat;Pelicans;0.0;27.38;16.0;0.0;2.0;5.0;7.0;12.0
Keshad;Johnson;F;1642352.0;22500784;11/02/2026;Heat;Pelicans;0.0;;0.0;0.0;0.0;0.0;0.0;0.0
Jahmir;Young;G;1642443.0;22500784;11/02/2026;Heat;Pelicans;0.0;;0.0;0.0;0.0;0.0;0.0;0.0
Jeremiah;Fears;G;1642847.0;22500784;11/02/2026;Pelicans;Heat;1.0;30.51;13.0;8.0;1.0;9.0;1.0;10.0
Derik;Queen;C;1642852.0;22500784;11/02/2026;Pelicans;Heat;1.0;31.07;12.0;0.0;1.0;5.0;0.0;5.0
Kasparas;Jakucionis;G;1642857.0;22500784;11/02/2026;Heat;Pelicans;0.0;25.19;11.0;4.0;1.0;3.0;0.0;3.0
Vladislav;Goldin;C;1642884.0;22500784;11/02/2026;Heat;Pelicans;0.0;;0.0;0.0;0.0;0.0;0.0;0.0
DeAndre;Jordan;C;201599.0;22500784;11/02/2026;Pelicans;Heat;1.0;;0.0;0.0;0.0;0.0;0.0;0.0
Andrew;Wiggins;F;203952.0;22500784;11/02/2026;Heat;Pelicans;0.0;;0.0;0.0;0.0;0.0;0.0;0.0
Jaylen;Brown;G-F;1627759.0;22500778;11/02/2026;Celtics;Bulls;1.0;28.55;24.0;4.0;2.0;4.0;0.0;4.0
Guerschon;Yabusele;F;1627824.0;22500778;11/02/2026;Bulls;Celtics;0.0;25.17;13.0;2.0;2.0;1.0;1.0;2.0
Derrick;White;G;1628401.0;22500778;11/02/2026;Celtics;Bulls;1.0;29.41;9.0;9.0;2.0;3.0;1.0;4.0
Collin;Sexton;G;1629012.0;22500778;11/02/2026;Bulls;Celtics;0.0;31.44;15.0;1.0;1.0;2.0;1.0;3.0
Anfernee;Simons;G;1629014.0;22500778;11/02/2026;Bulls;Celtics;0.0;27.53;7.0;1.0;1.0;4.0;1.0;5.0
Neemias;Queta;C;1629674.0;22500778;11/02/2026;Celtics;Bulls;1.0;14.44;8.0;1.0;0.0;4.0;2.0;6.0
