Nome;Sobrenome;POS;player_id;image_path
Max;Christie;G;1631108.0;assets/players/1631108.png
Maxi;Kleber;F;1628467.0;assets/players/1628467.png
Maxime;Raynaud;C;1642875.0;assets/players/1642875.png
Micah;Potter;C;;perfiljogador.png
Micah;Peavy;G-F;1642877.0;assets/players/1642877.png
Michael;Porter Jr.;F;1629008.0;assets/players/1629008.png
Mikal;Bridges;G-F;1628969.0;assets/players/1628969.png
Mike;Conley;G;201144.0;assets/players/201144.png
Miles;Bridges;F;1628970.0;assets/players/1628970.png
Miles;McBride;G;1630540.0;assets/players/1630540.png
Miles;Kelly;G;1642939.0;assets/players/1642939.png
Mitchell;Robinson;C-F;1629011.0;assets/players/1629011.png
Mo;Bamba;C;;perfiljogador.png
Mohamed;Diawara;F;1642885.0;assets/players/1642885.png
Monte;Morris;G;;perfiljogador.png
Moritz;Wagner;F-C;1629021.0;assets/players/1629021.png
Moses;Moody;G;1630541.0;assets/players/1630541.png
Mouhamed;Gueye;F;1631243.0;assets/players/1631243.png
Moussa;Diabate;F;;perfiljogador.png
Moussa;Cisse;C;1630619.0;assets/players/1630619.png
Myles;Turner;C-F;1626167.0;assets/players/1626167.png
Myron;Gardner;F;1642066.0;assets/players/1642066.png
Nae'Qwan;Tomlin;F;1641772.0;assets/players/1641772.png
Naji;Marshall;F;1630230.0;assets/players/1630230.png
Naz;Reid;C-F;1629675.0;assets/players/1629675.png
Neemias;Queta;C;1629674.0;assets/players/1629674.png
N'Faly;Dante;C;1642368.0;assets/players/1642368.png
Nic;Claxton;C;1629651.0;assets/players/1629651.png
Nick;Smith Jr.;G;1641733.0;assets/players/1641733.png
Nick;Richards;C;1630208.0;assets/players/1630208.png
Nickeil;Alexander-Walker;G;1629638.0;assets/players/1629638.png
Nicolas;Batum;G-F;201587.0;assets/players/201587.png
Nigel;Hayes-Davis;F;1628502.0;assets/players/1628502.png
Nikola;Jokic;C;;perfiljogador.png
Nikola;Vucevic;C;;perfiljogador.png
Nikola;Jovic;F;;perfiljogador.png
Nique;Clifford;G;1642363.0;assets/players/1642363.png
Noa;Essengue;F;1642855.0;assets/players/1642855.png
Noah;Clowney;F-C;1641730.0;assets/players/1641730.png
Noah;Penda;G-F;1642869.0;assets/players/1642869.png
Nolan;Traore;G;1642849.0;assets/players/1642849.png
Norman;Powell;G;1626181.0;assets/players/1626181.png
O.G.;Anunoby;F-G;1628384.0;assets/players/1628384.png
Obi;Toppin;F;1630167.0;assets/players/1630167.png
Ochai;Agbaji;G;1630534.0;assets/players/1630534.png
Olivier-Maxence;Prosper;F;1641765.0;assets/players/1641765.png
Onyeka;Okongwu;F-C;1630168.0;assets/players/1630168.png
Orlando;Robinson;C;1631115.0;assets/players/1631115.png
Oscar;Tshiebwe;F-C;1631131.0;assets/players/1631131.png
Oso;Ighodaro;F;1642345.0;assets/players/1642345.png
Ousmane;Dieng;F;1631172.0;assets/players/1631172.png
